Client,Admitted,PScore,Governance archetype,Risk archetype,C,I,A,CIA high-water,Business impact,HPS region,Critical HPS,Critical minimum,Automated review,Review recommendation,Review reason,Review disposition,Required class if admitted,Required tier if admitted,Final client class,Final client tier,Admission decision,Current session eligibility,Reassessment eligibility
client_010,True,4.25,G2_STRONG,R2_CONFIDENTIAL,3,2,2,HIGH,MODERATE,AUTO_ACCEPT_REGION,4.3571,4.0,False,DIRECT_AUTO_ACCEPT,OVERALL_HPS_STRONG_AND_CRITICAL_FLOOR_MET,NOT_REQUIRED_AUTOMATED_POLICY,C3_CONFIDENTIAL,T3_XMK_CKKS,C3_CONFIDENTIAL,T3_XMK_CKKS,ACCEPT,ELIGIBLE,NOT_REQUIRED
client_011,True,3.5,G3_ADEQUATE,R4_RESTRICTED,4,3,3,CRITICAL,CRITICAL,AUTOMATED_REVIEW_REGION,3.7143,3.0,True,ACCEPT_AFTER_AUTOMATED_REVIEW,INTERMEDIATE_OVERALL_REVIEW_CRITICAL_PROFILE_SUFFICIENT,NOT_REQUIRED_AUTOMATED_POLICY,C4_RESTRICTED,T4_SAMK,C4_RESTRICTED,T4_SAMK,ACCEPT,ELIGIBLE,NOT_REQUIRED
client_012,False,3.05,G4_REMEDIATION_NEEDED,R3_HIGH_IMPACT,2,2,3,HIGH,HIGH,AUTOMATED_REVIEW_REGION,3.0714,2.0,True,REMEDIATE,CRITICAL_DIMENSION_BELOW_ADEQUATE,NOT_REQUIRED_AUTOMATED_POLICY,C4_RESTRICTED,T4_SAMK,C0_EXCLUDED,T0_EXCLUDED,QUARANTINE,NOT_ELIGIBLE,ELIGIBLE_AFTER_REMEDIATION_AND_REASSESSMENT
client_013,False,2.3,G5_WEAK,R1_INTERNAL,2,2,2,MODERATE,MODERATE,AUTO_REJECT_REGION,2.4286,1.0,False,AUTO_REJECT,OVERALL_HPS_BELOW_ADEQUATE,NOT_REQUIRED_AUTOMATED_POLICY,C2_INTERNAL,T2_DF_KS,C0_EXCLUDED,T0_EXCLUDED,REJECT,NOT_ELIGIBLE,REQUIRES_MATERIAL_REASSESSMENT
client_014,True,4.6,G1_MATURE,R4_RESTRICTED,4,3,3,CRITICAL,CRITICAL,AUTO_ACCEPT_REGION,4.8571,4.0,False,DIRECT_AUTO_ACCEPT,OVERALL_HPS_STRONG_AND_CRITICAL_FLOOR_MET,NOT_REQUIRED_AUTOMATED_POLICY,C4_RESTRICTED,T4_SAMK,C4_RESTRICTED,T4_SAMK,ACCEPT,ELIGIBLE,NOT_REQUIRED
client_015,True,3.5,G3_ADEQUATE,R2_CONFIDENTIAL,3,2,2,HIGH,MODERATE,AUTOMATED_REVIEW_REGION,3.7143,3.0,True,ACCEPT_AFTER_AUTOMATED_REVIEW,INTERMEDIATE_OVERALL_REVIEW_CRITICAL_PROFILE_SUFFICIENT,NOT_REQUIRED_AUTOMATED_POLICY,C3_CONFIDENTIAL,T3_XMK_CKKS,C3_CONFIDENTIAL,T3_XMK_CKKS,ACCEPT,ELIGIBLE,NOT_REQUIRED
client_016,False,2.2375,G5_WEAK,R3_HIGH_IMPACT,2,2,3,HIGH,HIGH,AUTO_REJECT_REGION,2.3393,1.0,False,AUTO_REJECT,OVERALL_HPS_BELOW_ADEQUATE,NOT_REQUIRED_AUTOMATED_POLICY,C4_RESTRICTED,T4_SAMK,C0_EXCLUDED,T0_EXCLUDED,REJECT,NOT_ELIGIBLE,REQUIRES_MATERIAL_REASSESSMENT
client_017,True,4.25,G2_STRONG,R2_CONFIDENTIAL,3,2,2,HIGH,MODERATE,AUTO_ACCEPT_REGION,4.3571,4.0,False,DIRECT_AUTO_ACCEPT,OVERALL_HPS_STRONG_AND_CRITICAL_FLOOR_MET,NOT_REQUIRED_AUTOMATED_POLICY,C3_CONFIDENTIAL,T3_XMK_CKKS,C3_CONFIDENTIAL,T3_XMK_CKKS,ACCEPT,ELIGIBLE,NOT_REQUIRED
client_018,False,2.9875,G4_REMEDIATION_NEEDED,R4_RESTRICTED,4,3,3,CRITICAL,CRITICAL,AUTO_REJECT_REGION,2.9821,2.0,False,AUTO_REJECT,OVERALL_HPS_BELOW_ADEQUATE,NOT_REQUIRED_AUTOMATED_POLICY,C4_RESTRICTED,T4_SAMK,C0_EXCLUDED,T0_EXCLUDED,REJECT,NOT_ELIGIBLE,REQUIRES_MATERIAL_REASSESSMENT
client_019,True,3.5,G3_ADEQUATE,R1_INTERNAL,2,2,2,MODERATE,MODERATE,AUTOMATED_REVIEW_REGION,3.7143,3.0,True,ACCEPT_AFTER_AUTOMATED_REVIEW,INTERMEDIATE_OVERALL_REVIEW_CRITICAL_PROFILE_SUFFICIENT,NOT_REQUIRED_AUTOMATED_POLICY,C2_INTERNAL,T2_DF_KS,C2_INTERNAL,T2_DF_KS,ACCEPT,ELIGIBLE,NOT_REQUIRED
